iter	Passed	Remaining
461	776	904
462	777	902
463	779	899
464	780	897
465	781	895
466	782	892
467	783	890
468	784	888
469	785	886
470	787	883
471	788	881
472	789	879
473	790	877
474	791	875
475	793	873
476	794	870
477	795	868
478	796	866
479	797	864
480	799	862
481	800	859
482	801	857
483	802	855
484	803	853
485	804	851
486	806	849
487	807	846
488	808	844
489	809	842
490	810	840
491	811	838
492	812	836
493	814	833
494	815	831
495	816	829
496	817	827
497	818	825
498	820	823
499	821	821
500	822	819
501	823	817
502	824	815
503	826	813
504	827	810
505	828	808
506	829	806
507	831	804
508	832	802
509	833	801
510	834	798
511	836	796
512	837	794
513	838	792
514	839	790
515	840	788
516	841	786
517	843	784
518	844	782
519	845	780
520	847	778
521	848	776
522	849	774
523	850	772
524	852	770
525	853	768
526	854	766
527	855	764
528	856	762
529	857	760
530	858	758
531	859	756
532	861	754
533	862	752
534	863	750
535	864	748
536	865	746
537	866	744
538	867	742
539	868	740
540	870	738
541	871	736
542	872	734
543	873	732
544	874	730
545	876	728
546	877	726
547	878	724
548	879	722
549	882	721
550	883	719
551	884	717
552	885	715
553	886	713
554	887	711
555	889	709
556	890	707
557	891	706
558	892	704
559	894	702
560	895	700
561	896	698
562	897	696
563	898	694
564	899	692
565	901	690
566	902	688
567	903	687
568	904	685
569	905	683
570	906	681
571	908	679
572	909	677
573	910	675
574	911	673
575	912	671
576	913	669
577	914	667
578	916	666
579	917	664
580	918	662
581	919	660
582	921	658
583	922	656
584	923	655
585	924	653
586	925	651
587	926	649
588	928	647
589	929	645
590	930	643
591	931	641
592	932	639
593	933	638
594	934	636
595	935	634
596	937	632
597	938	630
598	939	628
599	940	626
600	941	625
601	942	623
602	943	621
603	944	619
604	946	617
605	947	615
606	948	613
607	949	612
608	950	610
609	951	608
610	952	606
611	953	604
612	955	602
613	956	601
614	957	599
615	958	597
616	960	595
617	961	594
618	962	592
619	963	590
620	964	588
621	966	587
622	967	585
623	968	583
624	969	581
625	970	579
626	971	578
627	973	576
628	974	574
629	975	572
630	976	571
631	977	569
632	978	567
633	980	565
634	981	564
635	982	562
636	983	560
637	984	558
638	985	556
639	987	555
640	988	553
641	989	551
642	990	549
643	991	548
644	992	546
645	994	544
646	995	543
647	996	541
648	997	539
649	998	537
650	999	536
651	1001	534
652	1002	532
653	1003	530
654	1004	529
655	1005	527
656	1006	525
657	1008	523
658	1009	522
659	1010	520
660	1011	518
661	1012	516
662	1013	515
663	1014	513
664	1015	511
665	1016	509
666	1017	508
667	1019	506
668	1020	504
669	1021	503
670	1022	501
671	1023	499
672	1024	497
673	1025	496
674	1027	494
675	1028	492
676	1029	491
677	1030	489
678	1031	487
679	1032	486
680	1033	484
681	1035	482
682	1036	480
683	1037	479
684	1038	477
685	1039	475
686	1040	474
687	1041	472
688	1043	470
689	1044	469
690	1045	467
691	1046	465
692	1047	464
693	1050	463
694	1051	461
695	1052	459
696	1053	458
697	1054	456
698	1056	454
699	1057	453
700	1058	451
701	1059	449
702	1060	448
703	1062	446
704	1063	444
705	1064	443
706	1065	441
707	1066	439
708	1068	438
709	1069	436
710	1070	435
711	1071	433
712	1072	431
713	1073	430
714	1074	428
715	1075	426
716	1077	425
717	1078	423
718	1079	421
719	1080	420
720	1081	418
721	1082	416
722	1083	415
723	1084	413
724	1086	411
725	1087	410
726	1088	408
727	1089	407
728	1090	405
729	1091	403
730	1093	402
731	1094	400
732	1095	399
733	1096	397
734	1097	395
735	1098	394
736	1100	392
737	1101	390
738	1102	389
739	1103	387
740	1104	386
741	1105	384
742	1106	382
743	1107	381
744	1108	379
745	1110	378
746	1111	376
747	1112	374
748	1113	373
749	1115	371
750	1116	370
751	1117	368
752	1118	366
753	1119	365
754	1120	363
755	1122	362
756	1123	360
757	1124	359
758	1125	357
759	1126	355
760	1128	354
761	1129	352
762	1130	351
763	1131	349
764	1132	347
765	1134	346
766	1135	344
767	1136	343
768	1137	341
769	1138	340
770	1140	338
771	1141	337
772	1142	335
773	1143	333
774	1144	332
775	1148	331
776	1149	329
777	1150	328
778	1151	326
779	1153	325
780	1154	323
781	1155	322
782	1156	320
783	1158	319
784	1159	317
785	1161	316
786	1162	314
787	1163	312
788	1164	311
789	1165	309
790	1167	308
791	1168	306
792	1169	305
793	1170	303
794	1172	302
795	1173	300
796	1174	299
797	1176	297
798	1177	296
799	1178	294
800	1179	293
801	1180	291
802	1181	289
803	1183	288
804	1184	286
805	1185	285
806	1186	283
807	1187	282
808	1188	280
809	1190	279
810	1191	277
811	1192	276
812	1193	274
813	1194	272
814	1195	271
815	1196	269
816	1198	268
817	1199	266
818	1200	265
819	1201	263
820	1202	262
821	1203	260
822	1205	259
823	1206	257
824	1207	256
825	1208	254
826	1209	253
827	1210	251
828	1211	249
829	1213	248
830	1214	246
831	1215	245
832	1216	243
833	1217	242
834	1219	240
835	1220	239
836	1221	237
837	1222	236
838	1223	234
839	1225	233
840	1226	231
841	1227	230
842	1228	228
843	1230	227
844	1231	225
845	1232	224
846	1233	222
847	1235	221
848	1236	219
849	1237	218
850	1238	216
851	1240	215
852	1241	213
853	1242	212
854	1243	210
855	1245	209
856	1246	208
857	1247	206
858	1249	205
859	1250	203
860	1251	202
861	1252	200
862	1253	199
863	1254	197
864	1256	196
865	1257	194
866	1258	193
867	1259	191
868	1260	190
869	1261	188
870	1263	187
871	1264	185
872	1266	184
873	1267	182
874	1268	181
875	1269	179
876	1270	178
877	1271	176
878	1272	175
879	1274	173
880	1275	172
881	1276	170
882	1277	169
883	1280	167
884	1281	166
885	1283	165
886	1286	163
887	1288	162
888	1289	160
889	1290	159
890	1291	158
891	1293	156
892	1294	155
893	1295	153
894	1297	152
895	1298	150
896	1299	149
897	1300	147
898	1301	146
899	1303	144
900	1304	143
901	1305	141
902	1306	140
903	1307	138
904	1308	137
905	1309	135
906	1310	134
907	1311	132
908	1312	131
909	1313	129
910	1314	128
911	1316	126
912	1317	125
913	1318	124
914	1319	122
915	1320	121
916	1321	119
917	1322	118
918	1323	116
919	1324	115
920	1326	113
921	1327	112
922	1328	110
923	1329	109
924	1330	107
925	1330	106
926	1332	104
927	1333	103
928	1334	101
929	1335	100
930	1335	99
931	1336	97
932	1337	96
933	1338	94
934	1339	93
935	1340	91
936	1341	90
937	1342	88
938	1343	87
939	1344	85
940	1345	84
941	1346	82
942	1348	81
943	1349	80
944	1350	78
945	1351	77
946	1352	75
947	1353	74
948	1354	72
949	1355	71
950	1356	69
951	1357	68
952	1358	66
953	1359	65
954	1360	64
955	1361	62
956	1362	61
957	1363	59
958	1364	58
959	1365	56
960	1366	55
961	1367	54
962	1368	52
963	1369	51
964	1370	49
965	1371	48
966	1372	46
967	1373	45
968	1374	43
969	1375	42
970	1376	41
971	1377	39
972	1378	38
973	1379	36
974	1380	35
975	1381	33
976	1382	32
977	1383	31
978	1384	29
979	1385	28
980	1386	26
981	1387	25
982	1388	24
983	1389	22
984	1390	21
985	1391	19
986	1392	18
987	1393	16
988	1394	15
989	1395	14
990	1396	12
991	1397	11
992	1398	9
993	1399	8
994	1400	7
995	1401	5
996	1402	4
997	1403	2
998	1404	1
999	1405	0

980	1532	29
981	1533	28
982	1534	26
983	1536	24
984	1537	23
985	1538	21
986	1539	20
987	1540	18
988	1542	17
989	1543	15
990	1544	14
991	1545	12
992	1546	10
993	1547	9
994	1549	7
995	1550	6
996	1551	4
997	1552	3
998	1553	1
999	1555	0
68
975	2677	65
976	2678	63
