iter	RMSE
234	3495.829315
235	3493.896238
236	3490.973729
237	3489.351288
238	3486.554547
239	3485.53707
240	3484.80824
241	3482.039361
242	3479.171117
243	3475.967396
244	3471.030057
245	3467.863801
246	3467.100936
247	3465.99781
248	3463.892736
249	3463.213321
250	3459.586445
251	3454.813679
252	3453.036203
253	3449.470617
254	3447.006133
255	3442.254055
256	3437.603156
257	3435.162673
258	3433.451868
259	3432.683359
260	3430.009703
261	3426.747413
262	3425.831798
263	3424.290403
264	3422.685997
265	3418.712528
266	3418.132201
267	3417.575273
268	3415.314067
269	3414.729944
270	3413.852812
271	3413.02198
272	3409.904165
273	3409.091662
274	3408.00124
275	3406.112855
276	3405.301081
277	3404.779101
278	3404.245906
279	3403.657014
280	3402.910552
281	3402.159029
282	3401.432125
283	3400.73215
284	3397.13531
285	3396.394533
286	3392.70858
287	3392.248718
288	3391.568477
289	3390.925889
290	3389.258992
291	3388.61689
292	3387.998738
293	3385.75421
294	3385.13779
295	3381.908513
296	3378.233782
297	3373.861671
298	3369.71195
299	3367.013115
300	3363.443171
301	3362.834799
302	3362.250921
303	3359.676504
304	3357.493783
305	3356.898717
306	3352.741564
307	3352.344503
308	3351.140194
309	3350.539778
310	3349.992334
311	3349.44724
312	3346.388778
313	3344.514281
314	3343.998773
315	3343.506148
316	3340.621048
317	3339.397153
318	3338.901666
319	3337.448767
320	3333.457641
321	3332.37144
322	3330.9621
323	3330.459768
324	3329.997517
325	3328.935635
326	3324.251799
327	3323.869388
328	3320.426162
329	3314.85505
330	3311.881736
331	3309.577679
332	3306.696044
333	3302.512342
334	3302.044502
335	3298.041203
336	3296.192434
337	3293.252245
338	3290.62089
339	3288.922269
340	3286.848377
341	3283.144843
342	3280.793724
343	3279.050826
344	3276.140385
345	3272.680852
346	3269.949082
347	3269.595422
348	3269.191207
349	3266.42812
350	3265.517919
351	3261.73604
352	3259.719283
353	3256.392642
354	3253.500343
355	3252.194278
356	3251.786625
357	3251.482064
358	3248.8542
359	3245.722539
360	3240.946353
361	3236.727616
362	3234.797819
363	3232.456559
364	3229.853145
365	3226.002707
366	3223.747174
367	3223.374604
368	3221.127531
369	3218.348433
370	3215.28127
371	3210.146031
372	3209.767468
373	3207.181746
374	3203.712803
375	3200.912648
376	3198.552385
377	3198.178331
378	3195.639892
379	3194.08525
380	3191.903917
381	3189.075846
382	3187.805965
383	3187.437719
384	3184.306358
385	3181.800169
386	3178.232381
387	3176.328622
388	3173.251282
389	3170.657944
390	3168.965914
391	3165.905148
392	3163.853647
393	3162.813458
394	3162.465783
395	3158.85749
396	3155.943712
397	3154.145742
398	3152.535603
399	3152.19701
400	3151.629478
401	3150.996342
402	3149.942074
403	3149.00963
404	3145.998253
405	3143.433588
406	3141.064578
407	3139.163581
408	3138.852036
409	3136.133949
410	3135.886757
411	3134.333318
412	3131.015988
413	3128.933332
414	3126.406044
415	3121.069422
416	3119.894984
417	3118.751176
418	3117.502486
419	3114.367521
420	3111.8501
421	3109.189553
422	3108.394288
423	3105.858881
424	3103.098034
425	3101.416903
426	3098.838721
427	3097.179888
428	3094.823055
429	3094.481979
430	3091.030924
431	3089.412755
432	3086.063191
433	3084.384173
434	3082.425736
435	3081.404979
436	3078.273483
437	3076.319052
438	3074.672231
439	3073.131492
440	3070.795276
441	3069.758664
442	3069.474774
443	3065.290814
444	3064.964513
445	3062.01721
446	3060.498548
447	3057.364932
448	3054.291129
449	3052.030861
450	3047.091488
451	3044.257255
452	3042.172473
453	3041.0968
454	3040.784622
455	3038.699649
456	3037.479796
457	3037.052612
458	3036.653634
459	3035.649843
460	3031.580567
461	3030.098445
462	3028.607182
463	3026.798809
464	3026.495896
465	3026.006909
466	3023.622062
467	3021.834859
468	3018.773612
469	3014.873441
470	3013.214067
471	3012.261847
472	3007.414771
473	3006.359019
474	3005.364852
475	3003.652266
476	3003.345025
477	3000.955781
478	3000.178647
479	2996.475223
480	2996.266283
481	2996.027087
482	2994.611231
483	2992.448209
484	2991.990573
485	2990.003494
486	2988.371508
487	2987.723879
488	2986.08934
489	2984.277485
490	2980.643951
491	2978.428154
492	2977.527115
493	2976.185287
494	2972.65854
495	2971.723297
496	2967.815149
497	2966.441071
498	2964.499181
499	2961.83664
500	2958.499728
501	2955.351512
502	2953.512003
503	2950.833582
504	2948.89315
505	2947.035825
506	2944.208295
507	2940.6566
508	2939.256391
509	2937.644932
510	2935.265547
511	2934.157542
512	2929.350742
513	2928.188758
514	2926.839037
515	2924.843708
516	2920.820214
517	2918.790057
518	2917.831661
519	2914.748572
520	2911.318377
521	2907.969527
522	2906.871673
523	2906.532637
524	2905.271417
525	2903.160408
526	2900.943261
527	2899.216955
528	2897.205465
529	2895.617413
530	2891.80287
531	2888.485991
532	2886.680249
533	2884.823526
534	2880.327398
535	2879.832724
536	2878.596801
537	2876.580839
538	2874.276125
539	2872.282461
540	2869.11379
541	2866.358552
542	2864.962538
543	2864.263794
544	2861.188962
545	2858.24832
546	2856.739344
547	2856.058988
548	2853.667187
549	2853.005941
550	2851.994661
551	2849.0219
552	2848.360628
553	2846.714512
554	2842.460405
555	2841.024503
556	2839.027048
557	2838.62036
558	2836.561857
559	2834.983524
560	2832.650155
561	2831.400885
562	2828.566935
563	2828.309906
564	2825.418756
565	2821.369646
566	2817.016932
567	2816.22783
568	2814.187456
569	2811.610386
570	2807.461666
571	2805.907544
572	2803.980696
573	2803.194901
574	2802.677626
575	2801.172412
576	2799.311343
577	2797.474575
578	2795.782959
579	2794.643157
580	2792.475753
581	2791.853785
582	2790.609624
583	2787.974884
584	2787.370188
585	2785.899479
586	2784.110574
587	2782.287296
588	2780.527125
589	2779.410575
590	2778.141609
591	2777.602505
592	2775.293455
593	2774.085172
594	2773.187006
595	2772.596485
596	2771.206443
597	2768.56557
598	2765.985417
599	2763.722975
600	2761.551603
601	2759.5317
602	2758.399689
603	2757.242688
604	2755.055902
605	2752.893932
606	2751.773577
607	2750.89407
608	2747.79102
609	2746.196996
610	2744.352297
611	2743.257852
612	2742.776336
613	2741.534595
614	2741.289882
615	2740.215125
616	2739.164668
617	2737.481454
618	2734.113869
619	2732.461979
620	2731.434338
621	2729.932452
622	2728.543098
623	2727.18288
624	2723.383108
625	2722.388242
626	2719.663845
627	2717.83558
628	2716.821673
629	2714.528246
630	2713.533293
631	2712.541498
632	2710.770863
633	2709.239062
634	2707.84349
635	2706.513042
636	2704.738139
637	2702.911705
638	2701.959677
639	2700.312597
640	2699.27033
641	2696.97542
642	2695.729682
643	2693.704201
644	2691.902589
645	2689.580955
646	2685.359299
647	2682.13942
648	2681.207853
649	2680.030847
650	2678.845152
651	2677.415789
652	2676.464053
653	2674.937366
654	2671.286863
655	2671.061018
656	2670.753971
657	2669.508138
658	2669.248835
659	2667.745317
660	2664.794587
661	2663.173484
662	2662.250773
663	2661.878317
664	2659.964553
665	2657.068531
666	2656.614519
667	2656.403822
668	2655.393783
669	2653.990942
670	2652.416755
671	2651.196621
672	2649.267468
673	2647.724453
674	2646.241777
675	2645.230689
676	2644.55698
677	2644.354409
678	2644.144451
679	2643.246691
680	2642.657689
681	2641.038079
682	2639.755205
683	2638.782809
684	2637.479601
685	2636.51858
686	2636.239643
687	2634.123684
688	2632.06037
689	2631.8306
690	2630.615791
691	2629.456304
692	2627.476374
693	2627.262587
694	2625.218569
695	2624.876941
696	2623.513614
697	2621.946863
698	2621.020386
699	2619.9014
700	2618.376195
701	2617.291306
702	2617.080509
703	2615.171731
704	2614.988127
705	2612.951508
706	2611.632795
707	2609.469428
708	2609.273606
709	2607.841034
710	2604.124006
711	2603.255987
712	2601.423509
713	2601.183314
714	2599.435314
715	2598.505253
716	2595.236453
717	2594.166241
718	2593.102073
719	2591.517422
720	2590.015009
721	2589.820344
722	2587.944463
723	2586.062876
724	2584.265136
725	2584.074867
726	2583.041323
727	2581.991511
728	2580.177261
729	2578.869972
730	2576.750324
731	2573.433192
732	2572.40319
733	2570.418081
734	2568.036595
735	2563.764275
736	2561.748348
737	2560.665712
738	2559.518856
739	2558.558102
740	2557.658499
741	2555.796708
742	2553.448859
743	2551.987479
744	2550.784113
745	2548.800065
746	2547.118214
747	2546.12597
748	2545.779417
749	2545.241644
750	2543.520657
751	2541.935905
752	2540.074964
753	2538.02496
754	2534.633808
755	2531.699794
756	2530.768022
757	2528.880914
758	2525.864684
759	2525.076736
760	2524.568181
761	2521.276517
762	2520.757536
763	2519.617141
764	2516.356709
765	2516.180158
766	2515.949445
767	2514.997156
768	2513.716707
769	2513.222005
770	2511.385045
771	2510.974135
772	2510.242697
773	2508.60992
774	2508.090102
775	2506.754436
776	2503.974506
777	2502.794027
778	2501.085884
779	2499.785252
780	2498.647196
781	2497.54814
782	2496.614871
783	2494.957825
784	2492.077336
785	2490.910585
786	2490.498644
787	2490.296026
788	2487.078626
789	2484.717836
790	2482.206517
791	2481.707963
792	2480.044795
793	2477.760359
794	2476.839143
795	2476.349678
796	2474.400459
797	2472.942452
798	2472.220933
799	2471.549853
800	2470.983978
801	2469.302015
802	2466.964987
803	2465.300155
804	2463.768485
805	2463.062445
806	2462.14787
807	2460.924554
808	2458.780793
809	2457.655976
810	2455.9532
811	2454.621143
812	2454.418123
813	2453.578096
814	2450.644688
815	2449.952195
816	2449.471665
817	2447.464554
818	2445.901725
819	2445.231292
820	2443.327969
821	2442.429788
822	2440.653802
823	2439.775808
824	2438.411526
825	2438.204704
826	2435.998359
827	2434.549482
828	2432.271176
829	2431.126324
830	2430.459173
831	2427.403256
832	2426.14911
833	2425.453118
834	2424.611783
835	2423.000052
836	2422.524917
837	2420.823816
838	2419.166962
839	2417.355476
840	2416.178772
841	2413.351652
842	2410.886586
843	2408.740698
844	2405.678152
845	2405.021306
846	2402.813382
847	2402.177266
848	2400.608032
849	2398.015837
850	2395.76641
851	2394.132614
852	2392.706475
853	2391.84689
854	2390.962875
855	2389.570151
856	2387.869496
857	2384.957014
858	2384.4535
859	2384.285471
860	2382.293615
861	2380.911075
862	2379.732101
863	2377.142754
864	2375.406551
865	2374.811207
866	2374.208012
867	2373.022599
868	2371.600122
869	2370.756471
870	2366.747541
871	2365.762335
872	2364.762162
873	2364.147773
874	2363.325916
875	2359.411759
876	2358.798191
877	2358.600595
878	2358.016136
879	2357.21303
880	2356.311087
881	2354.544165
882	2353.051004
883	2351.469733
884	2350.502624
885	2348.643779
886	2348.219173
887	2347.313775
888	2344.512581
889	2343.281311
890	2341.907336
891	2339.367345
892	2338.220903
893	2334.447512
894	2332.934043
895	2330.454228
896	2329.296155
897	2327.835128
898	2327.021005
899	2326.868662
900	2325.50474
901	2324.905257
902	2322.505282
903	2321.917209
904	2320.711065
905	2318.218807
906	2316.250651
907	2314.536306
908	2313.520347
909	2311.539089
910	2310.741344
911	2308.57633
912	2308.257668
913	2307.083112
914	2306.064991
915	2305.499926
916	2304.595512
917	2303.849151
918	2302.8733
919	2302.424521
920	2300.246892
921	2300.046641
922	2299.856998
923	2299.550163
924	2298.536749
925	2297.227061
926	2295.950214
927	2295.023613
928	2294.697751
929	2292.539163
930	2291.157711
931	2290.868068
932	2289.903022
933	2288.882751
934	2288.316332
935	2285.820713
936	2284.851991
937	2284.390815
938	2281.413635
939	2280.223982
940	2279.442406
941	2279.130712
942	2277.051252
943	2276.640797
944	2275.569807
945	2275.420317
946	2274.266223
947	2272.511829
948	2271.758426
949	2270.198012
950	2267.815724
951	2265.451174
952	2263.979907
953	2261.988652
954	2261.705706
955	2261.449929
956	2259.270276
957	2257.799488
958	2255.493753
959	2254.931788
960	2254.191803
961	2253.174445
962	2252.53214
963	2250.693054
964	2248.81421
965	2248.272763
966	2247.962534
967	2246.78973
968	2243.875106
969	2243.158903
970	2242.214659
971	2241.660989
972	2241.25943
973	2240.855748
974	2240.46609
975	2239.818734
976	2238.719306
977	2238.064155
978	2236.379057
979	2234.341443
980	2232.107635
981	2231.060413
982	2230.360683
983	2229.380976
984	2228.347964
985	2224.88101
986	2223.783527
987	2223.097565
988	2220.812327
989	2218.696476
990	2218.119003
991	2216.663371
992	2214.415891
993	2213.251608
994	2212.357051
995	2209.794831
996	2208.892631
997	2207.141616
998	2204.931124
999	2204.471518
2405.029427
999	2404.569014
